sample_id,sample_type,longitude,latitude,elevation_m,slope_deg,lulc_class,lulc_class_name
BG_161,background,93.463528,27.615222,2818.63,40.68,10,Tree cover
BG_162,background,93.506406,27.217756,1086.39,20.25,10,Tree cover
BG_163,background,94.074949,27.398434,184.69,3.62,10,Tree cover
BG_164,background,93.495065,27.119209,807.78,37.86,10,Tree cover
BG_165,background,93.393386,27.126031,932.06,15.69,10,Tree cover
BG_166,background,93.586559,27.193068,1145.08,33.63,10,Tree cover
BG_167,background,93.284136,27.256573,2026.29,13.65,10,Tree cover
BG_168,background,93.310981,27.210743,1478.39,33.02,10,Tree cover
BG_169,background,93.590842,27.086067,260.66,2.65,10,Tree cover
BG_170,background,93.864731,27.366584,589.22,29.0,10,Tree cover
BG_171,background,93.84152,27.265436,669.15,17.06,10,Tree cover
BG_172,background,93.395714,27.356784,2392.39,25.45,10,Tree cover
BG_173,background,93.967549,27.399762,1028.26,38.09,10,Tree cover
BG_174,background,93.561402,27.250048,955.02,28.18,10,Tree cover
BG_175,background,93.569187,27.291184,1849.57,23.95,10,Tree cover
BG_176,background,93.346213,27.435459,3404.2,10.89,10,Tree cover
BG_177,background,93.470947,27.069998,658.2,30.44,10,Tree cover
BG_178,background,93.583234,27.019199,582.07,26.2,10,Tree cover
BG_179,background,93.97002,27.369954,390.82,20.57,10,Tree cover
BG_180,background,93.531075,27.117182,956.13,16.57,10,Tree cover
BG_181,background,93.365985,27.631493,3283.6,35.67,10,Tree cover
BG_182,background,93.982089,27.499863,2121.65,30.03,10,Tree cover
BG_183,background,93.32192,27.327452,1980.37,32.55,10,Tree cover
BG_184,background,93.460682,27.001235,413.5,37.35,10,Tree cover
BG_185,background,93.271931,27.222741,1604.11,32.73,10,Tree cover
BG_186,background,93.598613,27.520186,1783.41,6.41,10,Tree cover
BG_187,background,93.83421,27.42256,1953.1,20.14,10,Tree cover
BG_188,background,93.380239,27.443767,2862.36,13.36,10,Tree cover
